-1.18, -1.58, -1.18, 3.13, -11.23, 5.2, -6.47, 2.43;-1.13, -0.9, 1.73, 1.4, -7.29, 1.14, -4.31, 1.16;-0.56, -0.97, -0.63, -2.41, -5.12, 0.14, -2.81, 2.2;-1.84, -1.38, 3.53, -6.29, -0.15, -4.94, 1.23, -1.97;-155243, 164966, 623799, 220126, 349977, -284842, 410463, -725961;AVB;159.84,162.52,158.21,158.28,1153872
-1.14, -7.03, 8.75, -8.28, -4.95, -2.09, -9.06, 13.14;-1.46, -4.46, 8.11, -7.24, -7.94, 6.04, -3.6, 2.7;-1.75, -6.48, 7.85, -6.76, -4.01, -6.49, -2.7, 12.1;-5.32, -4.49, 7.05, -9.24, -3.31, -7.38, 12.28, -3.0;138651, -439874, 3447959, -1363060, -849885, 1242414, 696777, -3726936;AVGO;238.76,243.1,237.0,237.38,4047486
-0.65, -2.44, 2.97, -1.68, 0.31, -3.12, -5.14, 2.57;-0.5, -2.36, 4.86, -2.23, -0.91, -2.24, -3.65, 2.2;-1.99, -1.23, 2.68, -1.95, -0.53, -3.76, -2.28, 2.74;-2.35, -1.34, 5.35, -2.32, -2.73, -3.82, 0.43, 0.54;235008, 377421, 632347, -380547, -367520, 214028, 183139, -467783;AVY;114.22,116.84,114.22,114.78,852676
0.0, -1.72, 0.34, 0.01, -1.57, -0.71, -2.98, 0.98;-0.35, -0.62, -0.76, 0.23, -1.21, -0.75, -2.28, 0.48;-0.63, -0.36, -0.32, -0.99, -0.53, -2.39, -1.82, 1.17;-1.2, -0.63, 0.06, -1.33, -0.62, -2.4, 0.14, -1.0;-39726, 200751, 144647, 159453, -232880, 781953, 285868, -900930;AWK;79.0,79.74,77.96,77.96,1268677
-0.1, -0.3, -0.71, 0.21, 0.58, -3.7, -6.08, 3.78;0.23, -0.08, -0.39, 0.33, -0.35, -2.96, -2.5, 0.63;0.28, -0.54, -0.19, -0.1, -1.76, -8.03, -0.1, 4.9;-0.22, -0.7, 0.69, 0.6, -3.32, -4.67, 2.17, -0.57;-196546, -5647, -263620, -250786, 1711220, 1758636, 822044, -3447175;AXP;93.53,94.85,93.41,93.61,3796803
-0.06, -5.33, -3.15, -5.45, -1.48, -3.56, -6.76, 5.98;-0.85, -4.95, -3.42, -5.03, -1.78, -3.07, 0.0, 0.67;-3.65, -4.77, -5.04, -1.73, -2.47, -4.89, -2.15, 5.98;-4.84, -5.24, -3.9, -0.78, -3.71, -4.73, 3.69, -0.84;-222824, 323550, 110288, -86202, -76424, -42499, 464844, -328738;AYI;147.98,150.67,147.98,148.07,813480
5.43, -10.38, -4.37, -16.36, 2.05, -16.37, -26.9, 22.04;-0.23, -11.15, 1.3, -15.98, 0.24, -7.36, -9.79, -0.25;-0.57, -12.98, -10.01, -5.12, -7.7, -18.23, -20.43, 16.35;-10.24, -10.04, -11.23, -1.06, -13.8, -18.99, 13.48, -16.74;-33895, 111059, 81935, -86307, 17175, 212314, -37825, -101092;AZO;742.14,753.73,726.4,728.33,412194
0.18, -0.49, -0.22, -0.59, -0.86, -1.46, -3.9, 1.23;0.17, -0.92, 0.31, -0.61, -1.02, -1.28, -2.65, 0.25;0.71, -1.37, 0.31, -0.73, -1.29, -3.04, -2.05, 1.78;-0.29, -1.54, 0.44, -0.6, -1.58, -3.03, 0.23, -0.39;-1065060, 495112, 215842, -24631, -52480, 905029, 1260513, -2132848;A;68.19,69.085,67.905,68.06,1988391
0.14, -0.3, 0.1, -0.05, 0.44, -1.32, -1.71, 1.71;0.25, -0.25, 0.09, 0.21, 0.17, -0.69, -0.69, 0.45;0.23, -0.33, 0.1, 0.01, -0.1, -2.71, 0.15, 1.56;0.08, -0.4, 0.12, 0.5, -0.55, -1.69, 0.94, 0.05;6426576, 1429300, 5178361, -3366670, 34604476, 58936332, 9970143, -64697884;BAC;31.12,31.74,30.86,31.25,101180515
0.37, -0.34, 0.57, -2.52, 0.08, -1.32, -4.05, 2.19;0.23, -0.41, 0.5, -1.82, -0.82, -1.28, -1.49, -0.22;1.14, -0.87, 0.55, -2.39, -0.68, -3.02, -1.6, 1.62;-0.21, -0.3, 0.28, -2.08, -1.4, -3.03, 1.15, -1.12;-303997, 128214, 1610603, 1650849, -1871579, 534303, 590965, -1281414;BAX;66.48,66.95,65.48,65.55,3943853
